Arabic,English,Arabic Pl,English Pl,Example
الشَيب,(having) grey hair,,,
وريد,(jugular) vein,وُرُد,(jugular) veins,
مناقصة,a bid,,,أستأنف المحادثات مع منافسة الشركة للـ*
سَبَخة,a bog,,,
غُلام,a boy,,,
موجز,a brief,,,
ضِغث,a bunch,أضغاث,bunches,
عُنقود,a bunch (of grapes),عناقيد,bunches (of grapes),
غمّاز,a buoy,,,
باردة,a cold,,,
زهرة,a die,زهر,dice,
سقطة,a fall,,,
ناقة,a female camel,نوق,female camels,
عَنز,a female goat,,,
أبله,a fool,,,
عُبوسة,a frown,,,تلاقى حاجبا غسان في عبوسة حاقدة
بضاعة,a good,بضائع,goods,
حَزر,a guess,,,
حفنة,a handful,,,
عَقَبة,a hitch,,,
مرتع,a hotbed,,,لتصبح الحكومة مرتعا كقليلي الكفاءة
بشر,a human being,,,
دعابة,a joke,,,
هزلي,a joker,,,كأنني مثل (هزلي) يصبح في مسرح: النجدة
هانم,a lady,,,أجمل هانم
لفّة,a lap,,,
هفوة,a lapse,,,لم يرتكب إلا * عابرة لم تتكرر.
طفرة,a leap,,,والذي يمثل طفرة هائلة في علوم التطور
ترف,a luxury,,,
أعجوبة,a marvel,,,
اقتراح,a motion,,,
قفّاز,a pair of gloves,قفّازات,pairs of gloves,
حذاء,a pair of shoes,أحذية,shoes,
شُخشيخة,a rattle,شخاشخ,rattles,
لائمة,a rebuke,لوائم,rebukes,
نقلة,a shift,,,أداؤه في الدور لم يكن * نوعية له
شهاب,a shooting star,شُهُب,shooting stars,
بادرة,a sign,signs,بوادر,أول بوادر العقل
خطيئة,a sin,,,
نَبّوت,a staff,,,لعب شمس الدين بنبوت أبيه في رشاقة خلابة
تأتأة,a stutter,,,
قُرادة,a tick,قُراد,ticks,
نزعة,a trend,,,التعبيرية هي * فنية
قابع,abandoned,,,
بطن,abdomen,بطون,abdomens,
احتجاز,abduction,,,
قُدرة,ability,قدرات,abilities,
مَقيت,abominable,,,
إجهاض,abortion,,,
إزاء,about,,,
سَحج,abrasion,,,
الانهماك,absorption,,,ثمل بالـ* في الرضاع
عبثي,absurd,,,اجراءات عبثية
سنط,acacia,,,
الأقلمة,acclimatization,,,
استعاب,accomodating,,,استعاب الطلاب
إنجاز,accomplishment,إنجازات,accomplishments,
بحسب,according to,,,
محاسبة,accountability,,,
مساءلة,accountability,,,
محاسب,accountant,,,
معرف,acquantance,,,
رضوخ,acquiescence,,,طالبه بعدم الـ* لتلك الضغوط
فصل,act,فصول,acts,
نشيط,active,نشطاء,active people,
نشاط,activity,أنشطة,activities,
حرقدة,Adam's apple,,,
التكيف,adaptation,,,
الجمع,addition,,,
إداري,administrator,,,
موعظة,admonition,,,
المراهقة,adolescence,,,
يافع,adolescent,يافعون,adolescents,ميدان الصراع الوحشي لا يكترث بالنساء ولا باليافعين
بالغ,adult,,,
راشد,adult,,,
زاني,adulterer,,,
فاسق,adulterer,,,ال* أبرع من الشيطان.
آثمة,adulterous,,,
خصم,adversary,خصوم,adversaries,
إعلان,advertisement,إعلانات,advertisements,
مشورة,advice,,,اقبلي مشورتي
نصيحة,advice,نصائح,pieces of advice,
شأن,affair,شؤون,affairs,
منكوب,affected,,,المناطق * بالكارثة
حنان,affection,,,
حنون,affectionate,,,
التحريج,afforestation,,,
عميل,"agent, collaborator",عملاء,"agents, collaboartors",
العدوان,aggression,,,
عَون,aid,,,
الإيدز,AIDS,,,
وعكة,ailment,,,تعلل بوعكة عابرة.
خمر,alcohol,خمور,alcohol (pl),
كحول,alcohol,,,
استنفار,alert,,,
فائق,alert,,,
طحالب,algae,,,
الجَبر,algebra,,,
مجمل,all,,,القرارات
بَغتةً,all of a sudden,,,لست أعلم ما الذي دفع بمصطفى إلى ذهني، لكني تذكرته *.
زعم,allegation,مزاعم,allegations,
مبايعة,allegiance,,,
حلف,alliance,أحلاف,alliances,
بدل,allowance,بدلات,allowances,
حليف,ally,حلفاء,allies,
بمفرده,alone,,,النمو الاقتصادي ليس كافياً بمفرده
مذبح,altar,مذابح,altars,
هاوي,amateur,,,
مندهش,amazed,,,
إشكال,ambiguity,,,
إشكالي,ambiguous,,,
إسعاف,ambulance,,,
كمين,ambush,كمناء,ambushes,
تعديل,amendment,تعديلات,amendments,
تعديلات,"amendments, modications",,,
وَدود,amiable,,,
ذخيرة,ammunition,,,
حصيلة,amount,حصائل,amounts,
برمائية,amphibian,برمائيات,amphibians,
بَتر,amputation,,,
تعويذة,amulet,,,
تميمة,amulet,,,
تسليفة,an advance,,,
سِكّير,an alcoholic,,,
تمرين,an exercise,تمارين,exercises,
جريح,an injured person,جرحى,injured people,
هَوَس,an obsession,,,أصبح (هوسا) يلازمني في حلي وترحالي
تحليل,analysis,تحاليل,analyses,
الفوضوية,anarchism,,,
الأناضول,Anatolia,,,
وغيره,and more,,,للإجابة على تلك الأسئلة وغيرها
وبالمِثل,and similarly,,,
تخدير,anesthesia,,,
ملاك,angel,ملائكة,angels,
الحنق,anger,,,
كاحل,ankle,كواحل,ankles,
متضايق,annoyed,,,
مُغفل,anonymous,,,
ترياق,antidote,,,
ضدّ,antonym,أضداد,antonyms,
شَجَن,anxiety,,,
جزعًا,anxiously,,,تساءل خضر *،
وتين,aorta,,,
شقّة,apartment,شِقق,apartments,
الفتور,apathy,,,حالة الفتور
التماس,appeal,,,
سَحنة,appearance,,,ذو * غريبة
ملحق,appendix,,,
شهية,appetite,,,
شهية,appetite,,,
ميعاد,appointment,مواعيد,appointments,
توجُّس,apprehension,,,
نهج,approach,,,سنواصل تنمنة هذا
مِشمِش,apricot,,,
نيسان,April,,,
الدلو,Aquarius,,,
تحكيم,arbitration,,,
نشّاب,archer,,,
معمار,architect,,,
معماري,architect,,,دا فينشي مشهر كرسام، نحات، *، وعالم
العِمارة,architecture,,,
قبو,archway,,,
مساحة,area,,,
حلبة,arena,,,السيارة الأفضل للسائق في الطرقات وعلى (الحلبات)
الحَمَل,Aries,,,
ذراع,arm,أذرُع,arms,
مدرّع,armored car,مدرعات,armored cars,
إبط,armpit,آباط,armpits,
الزهو,arrogance,,,
الكبرياء,arrogance,,,
الكِبرياء,arrogance,,,
ترسانة,arsenal,ترسانات,arsenals,
شريان,artery,شرايين,arteries,
خُرشوف,artichoke,خراشيف,artichokes,
فصيح,articulate,,,
مفتعل,artificial,,,
حرفي,artisan,,,
بمجمله,as a whole,,,المجتمع الدولي بمجمله
كالتالي,as follows,,,
